City,St,Church,Pastor,Stat Year,Comm,Non Comm,Total,Prof Child,Prof Adult,Trans Letter,Reaffir-mation,Re-stored,Total,Death,Trans,Rem'v fr Roll,Discipl,Total,,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades *Included,Total Enrollment,Tithes & Offerings,"Special
Causes",Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,,Admini-stration,Disciple-ship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,"Ridge
Haven",Reformed University Ministries,PCA Office Building,Other,Total,Presbytery Operation,Christian Education,Home Missions,"Internat'l
Missions",Other Pres-bytery Min,Total,,Local Ministries,Mercy Ministires,"PCA Internat'l
Missions",PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total,TOTAL Benevolent Disbursements,Current Expenses,Building Fund,GRAND TOTAL: All Disbursements,"Benevol/
Grand Total",Per Capita Giving
Austin,TX,All Saints Presbyterian Church,Timothy S. Frickenschmidt,2024,"1,512",237,"1,749",38,1,91,86,0,216,1,25,9,0,35,,18,34,10,19,625,200,400,"1,050",P,75,"$4,920,287 ","$187,140 ","$3,968,949 ",$0 ,"$9,076,376 ","$101,183 ","$9,177,559 ",,"$19,405 ",,"$30,000 ","$88,900 ",,"$15,000 ",,"$45,188 ",,,"$198,493 ",,,,,,"$31,655 ",,"$219,152 ","$153,145 ","$4,753 ","$127,346 ","$143,276 ",,"$94,947 ","$742,619 ","$972,767 ","$4,010,407 ","$720,485 ","$5,703,659 ",17%,"$6,003"
Boise,ID,All Saints Presbyterian Church,Justin Poythress,2019,190,35,225,5,1,16,0,0,22,1,45,38,0,84,,3,2,4,4,90,100,75,265,,,"$634,173 ",$0 ,"$1,000 ","$2,627 ","$637,800 ","$17,167 ","$654,967 ",,"$1,400 ",$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,400 ","$1,400 ",$0 ,$0 ,"$8,000 ","$25,000 ","$34,400 ",,"$2,600 ","$1,000 ","$10,113 ","$39,000 ","$16,915 ",$0 ,$0 ,"$69,628 ","$105,428 ","$528,977 ",,"$634,405 ",17%,"$3,357"
St. George,UT,All Saints Reformed Church,Benjamin Kappers,2024,53,19,72,2,1,14,,,17,,,,,0,,1,2,,,23,25,,75,,,"$150,000 ",,,,"$150,000 ",,"$150,000 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,"$5,600 ","$5,000 ",,"$6,000 ",,,,"$16,600 ","$16,600 ","$220,000 ",,"$236,600 ",7%,"$2,830"
Richmond,VA,All Saints Reformed Presbyterian Church,Dennis Bullock,2023,125,44,169,2,,5,2,,9,,9,1,1,11,,,6,6,5,63,85,65,120,,,"$505,034 ",$965 ,,,"$505,999 ","$4,023 ","$510,022 ",,$846 ,$370,"$3,406 ","$20,100 ",$881 ,,$524 ,"$2,358 ",,"$2,000 ","$30,485 ","$9,081 ",,,,,"$9,081 ",,,"$6,941 ",,"$31,600 ","$3,000 ",,"$6,300 ","$47,841 ","$87,407 ","$401,334 ","$142,588 ","$631,329 ",14%,"$4,048"
Missoula,MT,All Souls Missoula,Russell Tamm,2017,58,23,81,6,2,1,11,,20,,4,3,3,10,,4,5,2,,30,,,100,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,0%,$0
Urbana,IL,All Souls Presbyterian Church,Luther Dietrich Herche,2024,124,39,163,7,3,4,9,0,23,0,5,6,0,11,,4,5,6,2,69,70,80,143,,,"$522,434 ","$4,389 ","$4,595 ",$0 ,"$531,418 ","$50,906 ","$582,324 ",,"$1,800 ",$0,$0 ,"$2,500 ",$0 ,$0 ,$0 ,"$11,422 ",,$0 ,"$15,722 ",,,,,,"$14,200 ",,"$1,000 ","$13,659 ",$0 ,$0 ,"$2,400 ",$0 ,$0 ,"$17,059 ","$46,981 ","$447,551 ",$0 ,"$494,532 ",10%,"$4,286"
Birmingham,AL,Altadena Valley Presbyterian Church,J. Kyle Parker,2024,523,59,582,11,6,17,22,0,56,5,4,3,0,12,,7,3,15,17,302,183,131,347,PK,130,"$1,842,622 ","$329,005 ",$0 ,"$362,172 ","$2,533,799 ","$26,703 ","$2,560,502 ",,"$3,800 ",,"$12,350 ","$14,250 ","$4,750 ","$4,750 ","$1,900 ","$8,550 ",,,"$50,350 ",,,,,,"$4,500 ",,$0 ,$0 ,"$62,200 ","$10,000 ",,$0 ,$0 ,"$72,200 ","$127,050 ","$269,836 ",,"$396,886 ",32%,"$4,845"
Lethbridge,AB,Amazing Grace Community Church,,2022,40,,40,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Anchorage,AK,Anchorage New Life Presbyterian Church,Yong Dok Pak,2022,10,,10,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Andrews,SC,Andrews Presbyterian Church,Mark A. Horne,2024,59,13,72,0,1,2,0,0,3,0,0,0,0,0,,0,13,3,3,41,12,4,42,,,"$122,696 ",$0 ,$0 ,$0 ,"$122,696 ","$25,495 ","$148,191 ",,$0 ,$0,$760 ,$760 ,$0 ,$0 ,$100 ,$500 ,,$750 ,"$2,870 ",,,,,,"$1,460 ",,$650 ,$407 ,$100 ,$400 ,$0 ,$0 ,$0 ,"$1,557 ","$5,887 ","$143,050 ",$0 ,"$148,937 ",4%,"$2,080"
Andrews,NC,Andrews Presbyterian Church,Larry W. Wilson,2022,40,,40,,,,,,0,,,,,0,,,,,,,,,,,,"$59,000 ",,,,"$59,000 ",,"$59,000 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$6,000 ",,,,,,"$6,000 ","$6,000 ","$69,000 ",,"$75,000 ",8%,"$1,475"
Greer,SC,Antioch Presbyterian Church,Zachary Groff,2024,42,29,71,1,1,18,4,2,26,,8,11,,19,,1,8,3,,24,,,66,,,"$216,546 ","$8,699 ",,"$21,503 ","$246,748 ","$40,854 ","$287,602 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,"$7,549 ",,"$1,000 ","$8,549 ","$8,549 ","$189,731 ","$54,229 ","$252,509 ",3%,"$5,875"
