City,St,Church,Pastor,Stat Year,Comm,Non Comm,Total,Prof Child,Prof Adult,Trans Letter,Reaffir-mation,Re-stored,Total,Death,Trans,Rem'v fr Roll,Discipl,Total,,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades *Included,Total Enrollment,Tithes & Offerings,"Special
Causes",Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,,Admini-stration,Disciple-ship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,"Ridge
Haven",Reformed University Ministries,PCA Office Building,Other,Total,Presbytery Operation,Christian Education,Home Missions,"Internat'l
Missions",Other Pres-bytery Min,Total,,Local Ministries,Mercy Ministires,"PCA Internat'l
Missions",PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total,TOTAL Benevolent Disbursements,Current Expenses,Building Fund,GRAND TOTAL: All Disbursements,"Benevol/
Grand Total",Per Capita Giving
Springville,AL,Christ Community Church,Rick Hutchinson,2022,38,9,47,,,,,,0,,,,,0,,,,,,22,,,,,,"$113,000 ",,,,"$113,000 ",,"$113,000 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$13,000 ",,,,,,"$13,000 ","$13,000 ","$93,000 ",,"$106,000 ",12%,"$2,974"
Fayetteville,AR,Christ Community Church,Dave Abney,2024,453,40,493,8,3,30,0,0,41,0,20,5,0,25,,7,7,6,5,161,0,320,400,,,"$1,400,000 ","$50,000 ","$50,000 ",,"$1,500,000 ","$100,000 ","$1,600,000 ",,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,$0 ,$0 ,,,$0 ,0%,"$3,311"
Batesburg-Leesville,SC,Christ Community Church,R. Kent Suits,2022,27,,27,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Johnson City,TN,Christ Community Church,Jim Powell,2024,299,82,381,13,1,23,11,0,48,0,4,0,0,4,,3,13,5,11,102,115,200,304,,,"$811,000 ",,"$36,000 ",,"$847,000 ",,"$847,000 ",,"$1,500 ",,,,,,,"$13,500 ",,,"$15,000 ",,,,,,,,"$26,000 ","$31,000 ",,,,,,"$57,000 ","$72,000 ","$864,000 ","$36,000 ","$972,000 ",7%,"$2,833"
Chapel Hill,NC,Christ Community Church,Byron Jay Peters,2024,136,60,196,1,2,13,0,0,16,0,12,9,1,22,,0,5,6,6,78,39,,128,,,"$612,048 ","$3,301 ","$42,881 ","$93,831 ","$752,061 ","$20,230 ","$772,291 ",,"$1,160 ",,"$2,860 ",,,,,"$1,980 ",,,"$6,000 ",,,,,,"$6,000 ",,,"$3,000 ","$65,669 ",,,,,"$68,669 ","$80,669 ","$273,746 ","$296,000 ","$650,415 ",12%,"$5,530"
Gainesville,FL,Christ Community Church,Tim Hayse,2024,414,160,574,26,61,0,0,2,89,0,1,0,0,1,,0,9,8,7,,,,441,,,"$1,225,038 ",$0 ,"$2,065,921 ",,"$3,290,959 ","$43,299 ","$3,334,258 ",,$560 ,$0,"$2,080 ","$1,920 ",$720 ,$800 ,$0 ,$960 ,,$0 ,"$7,040 ",,,,,,"$21,040 ",,"$17,000 ","$10,200 ","$12,500 ","$8,000 ","$20,100 ",$0 ,"$2,000 ","$69,800 ","$97,880 ","$1,155,649 ","$606,891 ","$1,860,420 ",5%,"$7,949"
Kennesaw,GA,Christ Community Church,Cameron Barham,2024,221,56,277,3,2,6,2,0,13,0,2,0,0,2,,2,8,6,6,84,35,80,202,,,"$624,037 ","$100,459 ","$39,345 ","$6,706 ","$770,547 ",$995 ,"$771,542 ",,"$1,000 ",$0,"$2,000 ",$0 ,$0 ,$0 ,$0 ,"$15,600 ",,,"$18,600 ",,,,,,"$3,600 ",,"$10,487 ","$23,363 ","$52,200 ","$6,000 ","$24,000 ",$0 ,$0 ,"$116,050 ","$138,250 ","$636,223 ",$0 ,"$774,473 ",18%,"$3,487"
Titusville,FL,Christ Community Church,,2022,129,3,132,8,,1,13,,22,3,6,,,9,,,4,6,3,70,40,38,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Carmel,IN,Christ Community Church,James Josiah Jones,2024,235,101,336,,50,11,,,61,,6,,,6,,,11,10,10,110,65,175,300,,,"$971,524 ","$120,638 ","$21,471 ",,"$1,113,633 ","$2,675 ","$1,116,308 ",,"$2,080 ",$245,$909 ,"$55,968 ",$350 ,$350 ,$139 ,$629 ,,,"$60,670 ",,,,,,"$17,250 ",,"$11,200 ","$15,580 ",,,"$44,600 ",,"$15,000 ","$86,380 ","$164,300 ","$907,119 ","$9,250 ","$1,080,669 ",15%,"$4,739"
Franklin,TN,Christ Community Church,Randy M. Lovelace,2024,896,215,"1,111",9,1,34,13,0,57,1,11,163,0,175,,3,11,27,26,434,,,751,P,168,"$3,417,783 ","$77,812 ","$180,432 ","$265,228 ","$3,941,255 ",,"$3,941,255 ",,$0 ,,,,,,,"$7,672 ",,,"$7,672 ",,,,,,"$10,000 ",,"$45,928 ","$113,681 ",,"$2,629 ","$69,707 ",,,"$231,945 ","$249,617 ","$3,117,381 ",$0 ,"$3,366,998 ",7%,"$4,399"
Simpsonville,SC,Christ Community Church,Paul Lambert Sanders,2024,272,51,323,8,7,13,14,0,42,4,4,9,1,18,,6,7,6,9,132,154,175,246,,,"$1,094,784 ",,,"$353,000 ","$1,447,784 ",,"$1,447,784 ",,"$4,200 ",,"$8,400 ","$11,100 ",,,,"$20,400 ",,"$2,400 ","$46,500 ",,,,,,"$6,000 ",,"$25,273 ","$10,750 ",,,"$28,827 ",,,"$64,850 ","$117,350 ","$790,072 ","$532,316 ","$1,439,738 ",8%,"$5,323"
Frisco,TX,Christ Community Church in Frisco,Patrick N. Poteet,2024,94,13,107,2,9,0,0,0,11,1,0,0,0,1,,1,1,2,4,42,11,8,60,,,"$435,891 ","$3,906 ","$45,586 ",$0 ,"$485,383 ",$0 ,"$485,383 ",,$700 ,$0,"$1,200 ","$17,400 ",$0 ,$0 ,$0 ,"$3,600 ",,$0 ,"$22,900 ",,,,,,"$3,492 ",,$0 ,"$1,728 ",$0 ,$0 ,"$3,000 ",$0 ,$0 ,"$4,728 ","$31,120 ","$494,408 ",$0 ,"$525,528 ",6%,"$5,164"
Wellington,FL,Christ Community Church PCA Palm Beach,Peter A. Bartuska,2024,138,22,160,6,1,1,2,0,10,1,0,0,0,1,,0,0,7,5,60,20,30,124,,,"$549,035 ","$17,100 ",$0 ,$0 ,"$566,135 ","$1,200 ","$567,335 ",,"$2,000 ",$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$2,000 ",,,,,,$0 ,,"$8,000 ","$15,200 ","$20,000 ","$11,400 ","$32,000 ",$0 ,$0 ,"$86,600 ","$88,600 ","$470,913 ",$0 ,"$559,513 ",16%,"$4,102"
Thomasville,GA,Christ Community Presbyterian Church,Oscar Jackson,2023,51,24,75,0,0,0,0,0,0,0,1,0,2,3,,0,1,4,3,27,15,10,60,PKEM,29,,,,,$0 ,,$0 ,,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,,,,$0 ,$0 ,,,$0 ,0%,$0
Clearwater,FL,Christ Community Presbyterian Church,Robert Brubaker,2024,64,4,68,1,0,2,3,0,6,0,1,2,0,3,,0,1,2,5,35,20,25,52,,,"$342,261 ",$0 ,$0 ,$0 ,"$342,261 ",$558 ,"$342,819 ",,$100 ,$0,$0 ,"$14,156 ",$0 ,$0 ,$0 ,"$2,914 ",,$0 ,"$17,170 ",,,,,,"$3,833 ",,$0 ,"$11,403 ",$0 ,"$2,914 ","$4,303 ",$0 ,$0 ,"$18,620 ","$39,623 ","$182,329 ",$0 ,"$221,952 ",18%,"$5,348"
Lakeland,FL,Christ Community Presbyterian Church,R. Lyle Caswell Jr.,2024,317,,317,7,,,19,,26,,,36,,36,,1,5,6,10,,40,,175,,,"$1,384,124 ",,,"$16,692 ","$1,400,816 ",,"$1,400,816 ",,,,"$1,500 ","$2,500 ","$3,500 ",,,,,,"$7,500 ",,,,,,$300 ,,,"$45,744 ","$24,600 ","$85,966 ",,,,"$156,310 ","$164,110 ","$1,036,467 ","$73,266 ","$1,273,843 ",13%,"$4,419"
West Hartford,CT,Christ Community Presbyterian Church,Robert M. Gray,2020,94,25,119,0,2,2,3,0,7,0,0,0,0,0,,0,2,3,1,47,0,20,60,,,"$216,188 ",$0 ,$100 ,"$6,764 ","$223,052 ",$0 ,"$223,052 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$13,000 ","$15,000 ","$1,000 ",$0 ,$0 ,"$29,000 ","$29,000 ","$131,000 ",$0 ,"$160,000 ",18%,"$2,373"
Woodstock,GA,Christ Covenant,Job Dalomba,2023,76,19,95,0,0,4,0,0,4,1,0,5,0,6,,0,0,3,4,43,50,55,80,,,"$237,868 ","$2,751 ",$0 ,,"$240,619 ",$849 ,"$241,468 ",,"$2,000 ",,,,,,,,,,"$2,000 ","$1,200 ",,,,,"$1,200 ",,"$2,400 ","$1,200 ","$6,000 ","$1,200 ","$3,600 ",,"$1,200 ","$15,600 ","$18,800 ","$219,957 ",$0 ,"$238,757 ",8%,"$3,166"
Hernando,MS,Christ Covenant Church,Jim Plunk,2024,161,22,183,4,0,12,4,0,20,0,4,8,0,12,,0,5,4,6,64,56,40,155,,,"$470,000 ",,"$300,000 ",,"$770,000 ",,"$770,000 ",,"$1,100 ",$987,"$3,500 ","$4,230 ","$1,500 ","$1,400 ",$500 ,"$25,400 ",,,"$38,617 ",,,,,,"$1,960 ",,"$18,000 ",,"$2,000 ","$11,000 ","$12,000 ",,,"$43,000 ","$83,577 ",,,"$83,577 ",100%,"$4,783"
Fargo,ND,Christ Covenant Church,Brock Bradley Larson,2022,30,,30,,,,,,0,,,,,0,,,,,,12,,,,,,"$255,301 ",,,,"$255,301 ",,"$255,301 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$1,808 ",,,,,,"$1,808 ","$1,808 ",,,"$1,808 ",100%,"$8,510"
La Crosse,WI,Christ Covenant Church,Michael Bowman,2024,106,52,158,1,,,11,,12,1,2,4,,7,,,2,,,,45,,105,,,,,,,$0 ,,$0 ,,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,$0 ,$0 ,,,$0 ,0%,$0
Southwest Ranches,FL,Christ Covenant Church,Brian L. Kelso,2024,102,15,117,1,,,,,1,1,,43,,44,,1,2,2,5,,9,35,90,,,"$369,410 ","$24,643 ",,,"$394,053 ","$105,000 ","$499,053 ",,,,,,,,,"$3,000 ",,,"$3,000 ","$1,000 ",,,,,"$1,000 ",,"$24,000 ","$20,000 ",,,"$1,500 ",,,"$45,500 ","$49,500 ","$357,560 ","$118,000 ","$525,060 ",9%,"$3,863"
Matthews,NC,Christ Covenant Church,Kevin DeYoung,2024,"2,022",527,"2,549",36,3,52,69,0,160,15,41,32,0,88,,10,28,45,34,"1,044",860,900,"1,366",EMH,1032,"$7,646,958 ","$2,596,969 ","$45,547 ",,"$10,289,474 ","$964,726 ","$11,254,200 ",,"$16,800 ",,"$13,500 ","$13,500 ","$16,660 ","$1,600 ",$500 ,,,"$1,600 ","$64,160 ",,,,,,"$44,608 ",,"$16,582 ","$86,096 ",,,"$2,841,167 ","$15,000 ",,"$2,958,845 ","$3,067,613 ","$7,738,363 ",,"$10,805,976 ",28%,"$5,089"
Columbia,SC,Christ Covenant Church,Justin McGuire,2024,132,17,149,4,1,10,6,,21,3,4,,,7,,,1,8,5,73,70,20,105,,,"$508,024 ",,"$8,168 ","$6,475 ","$522,667 ",$142 ,"$522,809 ",,,,,,,,,"$12,338 ",,$643 ,"$12,981 ",,,,,,"$5,000 ",,$849 ,$233 ,"$9,145 ",,"$14,277 ",,,"$24,504 ","$42,485 ","$448,271 ",,"$490,756 ",9%,"$3,960"
Seneca,PA,Christ Covenant PCA,Jeremy James Coyer,2024,56,22,78,2,6,3,,,11,,,,,0,,,1,2,2,18,,,,,,"$94,700 ",,,,"$94,700 ",,"$94,700 ",,,,,,,,,,,,$0 ,,,,,,$400 ,,,$400 ,,,"$1,800 ",,,"$2,200 ","$2,600 ",,,"$2,600 ",100%,"$1,691"
Suwanee,GA,Christ Covenant Presbyterian Church,Young Kyu Choi,2022,35,14,49,0,1,14,0,0,15,,10,,,10,,1,3,0,0,10,9,24,50,,,"$117,305 ",$0 ,$0 ,$0 ,"$117,305 ",,"$117,305 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,,"$4,800 ",,,,,"$4,800 ","$4,800 ","$99,436 ",$0 ,"$104,236 ",5%,"$3,352"
Cullman,AL,Christ Covenant Presbyterian Church,Jason Ellerbee,2024,335,77,412,9,,15,4,,28,,5,,,5,,2,5,10,15,131,220,190,240,,,"$914,554 ",,,"$20,620 ","$935,174 ",,"$935,174 ",,"$1,458 ",,,,,,,,,,"$1,458 ",,,,,,"$2,000 ",,"$21,090 ","$1,174 ","$15,100 ","$6,940 ","$45,305 ",,"$3,300 ","$92,909 ","$96,367 ","$572,242 ","$197,674 ","$866,283 ",11%,"$2,792"
Lexington,KY,Christ Covenant Presbyterian Church,Robert Beatty,2024,41,8,49,1,0,0,0,0,1,1,,0,0,1,,,2,2,3,16,25,0,58,,,"$138,435 ",$0 ,$0 ,$0 ,"$138,435 ",,"$138,435 ",,,,,,,,,,,,$0 ,,,,,,$900 ,,"$3,000 ","$4,000 ",,,"$3,000 ",,,"$10,000 ","$10,900 ","$138,000 ",,"$148,900 ",7%,"$3,376"
Knoxville,TN,Christ Covenant Presbyterian Church,Seth Hammond,2024,610,192,802,15,0,54,22,0,91,7,13,55,0,75,,6,13,17,13,327,155,70,463,,,"$2,212,900 ","$384,300 ","$304,650 ","$18,850 ","$2,920,700 ","$371,300 ","$3,292,000 ",,"$19,000 ",,"$3,000 ",,,,,"$13,550 ",,,"$35,550 ",,,,,,"$10,200 ",,"$34,970 ","$54,340 ","$59,580 ",,"$262,292 ","$17,120 ","$20,000 ","$448,302 ","$494,052 ","$2,339,593 ","$66,108 ","$2,899,753 ",17%,"$4,788"
Warminster,PA,Christ Covenant Presbyterian Church,Mark A. Herzer,2012,61,19,80,0,8,2,0,0,10,0,0,0,0,0,,0,2,2,1,31,60,,70,,,"$153,101 ","$7,349 ",$30 ,"$1,170 ","$161,650 ","$3,196 ","$164,846 ",,$434 ,$0,$0 ,"$1,488 ",$0 ,$0 ,$0 ,$744 ,$0 ,$0 ,"$2,666 ",$300 ,$0 ,$0 ,$0 ,$0 ,$300 ,,"$3,000 ",$0 ,"$3,000 ",$0 ,"$3,000 ",$0 ,"$1,500 ","$10,500 ","$13,466 ","$128,775 ",$0 ,"$142,241 ",9%,"$2,650"
Roswell,GA,Christ Fellowship,Jason Crenshaw,2022,50,,50,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Horn Lake,MS,Christ Fellowship,Mike Winebrenner,2024,131,43,174,0,10,14,1,0,25,0,0,0,0,0,,4,2,6,6,66,,60,110,,,"$231,818 ",,,,"$231,818 ","$52,030 ","$283,848 ",,$600 ,,"$1,200 ",,,,,,,,"$1,800 ",,,,,,"$1,200 ",,,"$6,000 ",,,"$1,200 ",,,"$7,200 ","$10,200 ","$261,600 ",,"$271,800 ",4%,"$1,770"
Wake Forest,NC,Christ Our Hope Church,B. Gabriel Sylvia Jr.,2024,186,33,219,2,1,1,3,0,7,0,0,0,0,0,,0,1,6,8,79,104,108,140,,,"$707,289 ","$28,020 ","$164,266 ",,"$899,575 ","$18,816 ","$918,391 ",,$100 ,,,,,,"$1,000 ","$3,600 ",,$600 ,"$5,300 ",,,,,,"$3,000 ",,"$14,200 ","$18,016 ","$12,000 ",,,,,"$44,216 ","$52,516 ","$674,508 ",,"$727,024 ",7%,"$4,836"
Charlestown,RI,Christ Our Hope Presbyterian Church,,2024,38,22,60,2,2,,,,4,,2,,,2,,,1,2,2,17,27,,37,,,"$123,332 ","$2,755 ",,,"$126,087 ","$3,131 ","$129,218 ",,$231 ,,,,,,,,,,$231 ,,,,,,"$2,662 ",,,"$2,754 ",,,,,"$1,000 ","$3,754 ","$6,647 ","$128,721 ",,"$135,368 ",5%,"$3,318"
Camarillo,CA,Christ our Redeemer,Sun Kwak,2024,69,22,91,,3,5,,,8,,1,,,1,,,5,2,3,29,0,30,68,,,"$235,054 ","$6,194 ",,,"$241,248 ","$8,556 ","$249,804 ",,,,,,,,,,,,$0 ,,,,,,$500 ,,,,,,,,,$0 ,$500 ,"$254,655 ",,"$255,155 ",0%,"$3,496"
Fairfield,CT,Christ Presbyterian Church,Milas Shepherd,2024,44,33,77,0,1,3,2,0,6,0,4,1,0,5,,1,5,3,0,29,,,78,,,"$145,917 ","$1,814 ",$0 ,"$119,125 ","$266,856 ","$1,568 ","$268,424 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,,,,,,$0 ,,"$266,790 ","$1,641 ",$0 ,"$5,065 ",$0 ,$0 ,$0 ,"$273,496 ","$273,496 ","$46,159 ",$0 ,"$319,655 ",86%,"$6,065"
Kent,OH,Christ Presbyterian Church,Jacob Piland,2024,42,15,57,,1,6,3,,10,,,,,0,,1,3,,,23,,25,55,,,"$157,187 ",,,"$15,000 ","$172,187 ",,"$172,187 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,,,,,,"$1,053 ","$1,053 ","$1,053 ","$150,272 ",,"$151,325 ",1%,"$4,100"
Houston,TX,Christ Presbyterian Church,Richard B. Harris,2023,716,0,716,0,16,0,0,0,16,0,0,0,0,0,,,,12,12,228,250,100,512,,,"$3,102,036 ","$311,544 ",$0 ,$0 ,"$3,413,580 ","$194,482 ","$3,608,062 ",,"$3,000 ",,,,"$7,000 ",,,,,"$5,000 ","$15,000 ","$15,000 ",,,,,"$15,000 ",,"$108,200 ","$19,800 ","$9,600 ","$10,200 ","$123,100 ",,"$34,800 ","$305,700 ","$335,700 ",,,"$335,700 ",100%,"$4,768"
Germantown,MD,Christ Presbyterian Church,Matthew Stephen Roberts,2024,39,,39,,1,1,1,,3,,,,,0,,,2,3,4,19,19,28,65,,,"$243,464 ",,,"$100,000 ","$343,464 ","$25,419 ","$368,883 ",,"$2,540 ",,,"$5,040 ",,,,"$2,520 ",,,"$10,100 ",,,,,,"$2,540 ",,$657 ,"$5,000 ",,,,,,"$5,657 ","$18,297 ",,,"$18,297 ",100%,"$8,807"
Harrisonburg,VA,Christ Presbyterian Church,William B. Leach,2011,53,59,112,2,0,8,2,0,12,0,0,0,0,0,,2,4,4,0,26,0,,74,,,"$101,970 ",$0 ,$0 ,$0 ,"$101,970 ",$0 ,"$101,970 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$127,847 ",$0 ,"$127,847 ",0%,"$1,924"
Clarkesville,GA,Christ Presbyterian Church,Hobie Wood,2023,226,17,243,4,2,46,,,52,1,,9,,10,,6,9,6,4,102,70,120,330,,,"$974,724 ","$27,426 ","$233,611 ",,"$1,235,761 ","$1,541 ","$1,237,302 ",,,,,,,,,,,,$0 ,"$4,953 ",,"$4,653 ","$55,764 ",,"$65,370 ",,"$8,400 ","$10,740 ",,,,,,"$19,140 ","$84,510 ","$599,948 ","$67,701 ","$752,159 ",11%,"$5,468"
Owens Cross Roads,AL,Christ Presbyterian Church,Michael Calvert,2021,315,47,362,7,9,12,,,28,3,19,34,,56,,,9,3,12,139,100,,200,,,"$1,146,867 ",,,,"$1,146,867 ",,"$1,146,867 ",,"$3,500 ",,"$6,000 ","$9,500 ",,,,"$3,000 ",,"$2,000 ","$24,000 ","$1,000 ",,,,"$1,000 ","$2,000 ",,"$7,000 ","$3,000 ","$22,500 ","$9,800 ",,,,"$42,300 ","$68,300 ","$410,000 ",,"$478,300 ",14%,"$3,641"
Murrieta,CA,Christ Presbyterian Church,Samuel Hogan,2022,126,,126,,,,,,0,,,,,0,,,,,,38,,,,,,"$156,845 ",,,,"$156,845 ",,"$156,845 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$2,184 ",,,,,,"$2,184 ","$2,184 ",,,"$2,184 ",100%,"$1,245"
Sharpsburg,GA,Christ Presbyterian Church,Drew Archer,2022,115,30,145,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Santa Barbara,CA,Christ Presbyterian Church,Kyle Wells,2022,153,36,189,2,4,1,,,7,2,3,7,,12,,3,,5,3,102,10,15,130,,,"$589,512 ",,"$841,000 ",,"$1,430,512 ","$21,420 ","$1,451,932 ",,"$1,300 ",,,,,,,"$27,600 ",,,"$28,900 ","$2,500 ",,,,,"$2,500 ",,$306 ,"$8,804 ","$12,900 ",,"$8,400 ",,,"$30,410 ","$61,810 ","$60,686,545 ","$494,586 ","$61,242,941 ",0%,"$9,350"
Sweetwater,TN,Christ Presbyterian Church,James Weston Alford,2024,51,,51,0,,0,,,0,,0,,,0,,,,3,3,23,24,10,40,,,"$147,758 ","$4,250 ","$5,735 ","$1,800 ","$159,543 ",,"$159,543 ",,$368 ,$343,"$1,196 ","$1,380 ",$490 ,$490 ,$196 ,$882 ,,,"$5,345 ",,,,,,"$1,475 ",,,"$1,750 ","$3,000 ","$6,600 ","$1,200 ",,,"$12,550 ","$19,370 ","$140,995 ",,"$160,365 ",12%,"$3,128"
Victoria,TX,Christ Presbyterian Church,Michael A. Singenstreu,2024,56,20,76,2,0,0,2,0,4,0,0,0,0,0,,1,6,3,2,26,30,25,70,,,"$181,532 ","$4,000 ",$500 ,$0 ,"$186,032 ","$9,803 ","$195,835 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,,,,,,"$2,400 ",,$625 ,"$2,390 ","$7,000 ","$1,800 ",$0 ,$0 ,$0 ,"$11,815 ","$14,215 ","$65,000 ","$58,676 ","$137,891 ",10%,"$3,322"
New Haven,CT,Christ Presbyterian Church,Craig Luekens,2022,265,69,334,1,4,2,5,0,12,0,1,0,0,1,,3,5,4,10,149,20,10,125,,,"$991,437 ","$23,689 ",$0 ,"$604,986 ","$1,620,112 ","$95,235 ","$1,715,347 ",,"$8,000 ",,,,,,,,,,"$8,000 ",,,,"$10,500 ",,"$10,500 ",,"$79,565 ","$17,831 ",,,"$94,642 ",,,"$192,038 ","$210,538 ","$1,665,886 ",$0 ,"$1,876,424 ",11%,"$6,114"
Winterville,NC,Christ Presbyterian Church,David Osborne,2024,275,34,309,2,2,,9,,13,,4,,,4,,2,2,14,11,96,99,,201,,,"$855,074 ","$4,290 ",$100 ,,"$859,464 ","$98,941 ","$958,405 ",,,,,"$6,500 ",,,,,,,"$6,500 ",,,,,,"$31,050 ",,,"$23,748 ",,"$7,938 ","$9,625 ",,,"$41,311 ","$78,861 ","$825,951 ","$34,243 ","$939,055 ",8%,"$3,125"
Roselle,IL,Christ Presbyterian Church,Pablo Herrera,2024,85,20,105,3,13,,,,16,2,2,2,,6,,,3,3,2,22,20,,74,,,"$219,052 ","$3,121 ",$0 ,$0 ,"$222,173 ","$32,480 ","$254,653 ",,$290 ,$0,$300 ,"$6,400 ",$0 ,$0 ,$0 ,"$3,240 ",,,"$10,230 ",,,,,,"$1,165 ",,$707 ,"$3,558 ",,,"$13,540 ",,,"$17,805 ","$29,200 ","$308,735 ",,"$337,935 ",9%,"$2,614"
Nashua,NH,Christ Presbyterian Church,James Pavlic,2024,57,18,75,1,4,,7,,12,0,1,7,1,9,,1,0,2,2,31,11,14,60,,,"$249,556 ","$11,352 ",,"$1,426 ","$262,334 ",,"$262,334 ",,$210 ,$132,"$1,013 ","$1,081 ",$210 ,$210 ,$131 ,"$1,012 ",,,"$3,999 ",,,,,,"$14,400 ",,"$3,000 ","$16,628 ",,,"$6,100 ",,"$2,000 ","$27,728 ","$46,127 ","$179,553 ","$36,000 ","$261,680 ",18%,"$4,602"
Nashville,TN,Christ Presbyterian Church,,2022,"2,101",626,"2,727",62,36,53,63,,214,8,137,,0,145,,12,53,46,66,"1,002",750,736,"1,781",PKEMH,1386,"$9,913,950 ","$457,937 ",,,"$10,371,887 ",,"$10,371,887 ",,"$5,550 ",$960,"$3,000 ","$40,500 ","$3,600 ","$15,000 ",,"$43,700 ",,"$1,000 ","$113,310 ","$50,030 ",,,,,"$50,030 ",,"$729,300 ","$243,800 ",,,,,,"$973,100 ","$1,136,440 ","$9,128,243 ",,"$10,264,683 ",11%,"$4,937"
Tulsa,OK,Christ Presbyterian Church,Jeremy Fair,2024,270,259,529,1,1,0,5,7,14,3,5,2,0,10,,4,1,8,7,140,100,70,210,,,"$738,369 ","$40,442 ","$33,743 ",,"$812,554 ",,"$812,554 ",,$200 ,,,,,,,,,,$200 ,,,,,,"$4,000 ",,"$4,000 ","$31,694 ","$7,500 ","$18,600 ","$40,500 ",,,"$102,294 ","$106,494 ","$702,451 ","$33,743 ","$842,688 ",13%,"$3,009"
Owensboro,KY,Christ Presbyterian Church,John O. Birkett,2024,112,34,146,3,,0,,,3,,9,,,9,,,4,2,6,44,0,0,81,,,"$224,900 ","$9,960 ",,,"$234,860 ","$3,456 ","$238,316 ",,$945 ,$826,"$3,070 ","$3,543 ","$1,181 ","$1,181 ",$472 ,"$2,126 ",,,"$13,344 ",,,,,,"$6,440 ",,"$4,200 ","$5,236 ","$14,760 ",,"$18,950 ",$50 ,,"$43,196 ","$62,980 ","$178,967 ",,"$241,947 ",26%,"$2,097"
Beaver Falls,PA,Christ Presbyterian Church,Scott P. Moreland,2023,79,25,104,1,3,0,0,0,4,1,0,3,0,4,,0,1,3,5,38,55,26,90,,,"$145,363 ",$0 ,"$1,965 ",$0 ,"$147,328 ","$1,547 ","$148,875 ",,$500 ,$0,"$1,680 ","$5,150 ",$480 ,$480 ,$0 ,"$1,300 ",$0 ,$0 ,"$9,590 ",$900 ,$0 ,"$1,600 ","$1,260 ",$0 ,"$3,760 ",,"$2,820 ","$8,115 ",$0 ,$0 ,"$5,780 ",$0 ,"$1,610 ","$18,325 ","$31,675 ","$121,604 ","$51,965 ","$205,244 ",15%,"$1,865"
Mobile,AL,Christ Presbyterian Church,Joshua Sparkman,2015,49,4,53,0,2,0,0,0,2,0,28,4,0,32,,0,0,2,2,0,20,,48,,,"$236,429 ","$10,675 ",$0 ,"$15,860 ","$262,964 ",$0 ,"$262,964 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$720 ,$0 ,$0 ,$0 ,$0 ,$720 ,,"$3,600 ",$0 ,"$16,200 ","$12,000 ","$7,200 ",$0 ,"$1,200 ","$40,200 ","$40,920 ","$182,424 ",$0 ,"$223,344 ",18%,"$5,367"
Richmond,IN,Christ Presbyterian Church,Rich Hawkins,2024,163,41,204,2,,,19,,21,2,1,2,,5,,2,,11,7,89,37,101,186,,,"$599,795 ","$91,052 ","$51,826 ",$0 ,"$742,673 ","$9,663 ","$752,336 ",,$880 ,,"$1,780 ","$1,780 ","$1,330 ","$1,230 ",,"$1,600 ",,"$1,380 ","$9,980 ",,,,,,"$7,875 ",,"$91,056 ","$29,836 ","$21,114 ",,"$56,237 ",,"$1,600 ","$199,843 ","$217,698 ","$431,388 ","$36,490 ","$685,576 ",32%,"$4,556"
